slide_id,tile_id,comparison_label,method_a,method_b,abs_err_a,abs_err_b,delta_abs_err,hass_level,density_bin,gt_count,p_value_pairwise,holm_adjusted_p
internal,17,spotiphy_vs_stardist,spotiphy,stardist,259.0,167.0,-92.0,,Q4,51,0.65234375,0.65234375
internal,18,segdecon_vs_spotiphy,segdecon,spotiphy,6.0,20.0,14.0,,Q2,36,0.001953125,0.005859375
internal,18,segdecon_vs_stardist,segdecon,stardist,6.0,89.0,83.0,,Q2,36,0.001953125,0.005859375
internal,18,spotiphy_vs_stardist,spotiphy,stardist,20.0,89.0,69.0,,Q2,36,0.001953125,0.005859375
internal,19,segdecon_vs_spotiphy,segdecon,spotiphy,2.0,29.0,27.0,,Q3,37,0.0078125,0.0234375
internal,19,segdecon_vs_stardist,segdecon,stardist,2.0,122.0,120.0,,Q3,37,0.0078125,0.0234375
internal,19,spotiphy_vs_stardist,spotiphy,stardist,29.0,122.0,93.0,,Q3,37,0.25,0.25
internal,20,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,167.0,164.0,,Q1,20,0.00390625,0.01171875
internal,20,segdecon_vs_stardist,segdecon,stardist,3.0,296.0,293.0,,Q1,20,0.00390625,0.01171875
internal,20,spotiphy_vs_stardist,spotiphy,stardist,167.0,296.0,129.0,,Q1,20,0.00390625,0.01171875
internal,21,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,121.0,118.0,,Q2,33,0.001953125,0.005859375
internal,21,segdecon_vs_stardist,segdecon,stardist,3.0,272.0,269.0,,Q2,33,0.001953125,0.005859375
internal,21,spotiphy_vs_stardist,spotiphy,stardist,121.0,272.0,151.0,,Q2,33,0.001953125,0.005859375
internal,22,segdecon_vs_spotiphy,segdecon,spotiphy,12.0,261.0,249.0,,Q3,37,0.0078125,0.0234375
internal,22,segdecon_vs_stardist,segdecon,stardist,12.0,407.0,395.0,,Q3,37,0.0078125,0.0234375
internal,22,spotiphy_vs_stardist,spotiphy,stardist,261.0,407.0,146.0,,Q3,37,0.25,0.25
internal,23,segdecon_vs_spotiphy,segdecon,spotiphy,15.0,268.0,253.0,,Q3,38,0.0078125,0.0234375
internal,23,segdecon_vs_stardist,segdecon,stardist,15.0,152.0,137.0,,Q3,38,0.0078125,0.0234375
internal,23,spotiphy_vs_stardist,spotiphy,stardist,268.0,152.0,-116.0,,Q3,38,0.25,0.25
internal,24,segdecon_vs_spotiphy,segdecon,spotiphy,5.0,115.0,110.0,,Q1,25,0.00390625,0.01171875
internal,24,segdecon_vs_stardist,segdecon,stardist,5.0,226.0,221.0,,Q1,25,0.00390625,0.01171875
internal,24,spotiphy_vs_stardist,spotiphy,stardist,115.0,226.0,111.0,,Q1,25,0.00390625,0.01171875
internal,25,segdecon_vs_spotiphy,segdecon,spotiphy,1.0,177.0,176.0,,Q2,36,0.001953125,0.005859375
internal,25,segdecon_vs_stardist,segdecon,stardist,1.0,326.0,325.0,,Q2,36,0.001953125,0.005859375
internal,25,spotiphy_vs_stardist,spotiphy,stardist,177.0,326.0,149.0,,Q2,36,0.001953125,0.005859375
internal,26,segdecon_vs_spotiphy,segdecon,spotiphy,0.0,150.0,150.0,,Q2,34,0.001953125,0.005859375
internal,26,segdecon_vs_stardist,segdecon,stardist,0.0,331.0,331.0,,Q2,34,0.001953125,0.005859375
internal,26,spotiphy_vs_stardist,spotiphy,stardist,150.0,331.0,181.0,,Q2,34,0.001953125,0.005859375
internal,27,segdecon_vs_spotiphy,segdecon,spotiphy,11.0,141.0,130.0,,Q4,41,0.00390625,0.01171875
internal,27,segdecon_vs_stardist,segdecon,stardist,11.0,290.0,279.0,,Q4,41,0.00390625,0.01171875
internal,27,spotiphy_vs_stardist,spotiphy,stardist,141.0,290.0,149.0,,Q4,41,0.65234375,0.65234375
internal,28,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,290.0,287.0,,Q1,26,0.00390625,0.01171875
internal,28,segdecon_vs_stardist,segdecon,stardist,3.0,416.0,413.0,,Q1,26,0.00390625,0.01171875
internal,28,spotiphy_vs_stardist,spotiphy,stardist,290.0,416.0,126.0,,Q1,26,0.00390625,0.01171875
internal,29,segdecon_vs_spotiphy,segdecon,spotiphy,26.0,325.0,299.0,,Q3,40,0.0078125,0.0234375
internal,29,segdecon_vs_stardist,segdecon,stardist,26.0,203.0,177.0,,Q3,40,0.0078125,0.0234375
internal,29,spotiphy_vs_stardist,spotiphy,stardist,325.0,203.0,-122.0,,Q3,40,0.25,0.25
internal,30,segdecon_vs_spotiphy,segdecon,spotiphy,14.0,208.0,194.0,,Q1,29,0.00390625,0.01171875
internal,30,segdecon_vs_stardist,segdecon,stardist,14.0,470.0,456.0,,Q1,29,0.00390625,0.01171875
